scen_id,src_node,node_id,peak_conc,t_peak_min,mean_flow_m3s,mean_vel_ms,detected
0019,J4,J7,0.0,,0.0,0.0,0
0019,J4,J8,4675.5191,263.0,0.00012,0.0,1
0019,J4,J9,4668.8758,659.0,0.000122,0.0,1
0019,J4,J10,4560.7022,670.0,0.000128,0.0,1
0019,J4,SU1,3805.3044,684.0,0.000121,0.0,1
0019,J4,J_out,3805.3044,685.0,3e-06,0.0,1
0019,J4,O2,3737.9614,702.0,3e-06,0.0,1
0020,J3,J1,0.0,,0.0,0.0,0
0020,J3,J5,14409.1386,302.0,6.9e-05,0.0,1
0020,J3,J2,0.0,,0.0,0.0,0
0020,J3,J11,12612.2529,746.0,8.9e-05,0.0,1
0020,J3,J3,14563.4921,229.0,6.7e-05,0.0,1
0020,J3,J4,14563.4921,301.0,6.7e-05,0.0,1
0020,J3,J6,13668.7979,442.0,8.1e-05,0.0,1
0020,J3,J7,0.0,,0.0,0.0,0
0020,J3,J8,13668.7979,611.0,9.2e-05,0.0,1
0020,J3,J9,13614.1509,683.0,9.2e-05,0.0,1
0020,J3,J10,12739.7702,706.0,9.6e-05,0.0,1
0020,J3,SU1,10055.4563,707.0,8.9e-05,0.0,1
0020,J3,J_out,10055.4563,708.0,2e-06,0.0,1
0020,J3,O2,9367.378,746.0,1e-06,0.0,1
0021,J8,J1,0.0,,0.0,0.0,0
0021,J8,J5,0.0,,0.0,0.0,0
0021,J8,J2,0.0,,0.0,0.0,0
0021,J8,J11,6590.3499,501.0,0.000111,0.0,1
0021,J8,J3,0.0,,0.0,0.0,0
0021,J8,J4,0.0,,0.0,0.0,0
0021,J8,J6,0.0,,0.0,0.0,0
0021,J8,J7,0.0,,0.0,0.0,0
0021,J8,J8,6840.796,203.0,0.000125,0.0,1
0021,J8,J9,6837.5455,323.0,0.000125,0.0,1
0021,J8,J10,6590.9971,373.0,0.000123,0.0,1
0021,J8,SU1,0.0,,1.9e-05,0.0,0
0021,J8,J_out,0.0,,1.4e-05,0.0,0
0021,J8,O2,0.0,,1.4e-05,0.0,0
0022,J2,J1,0.0,,0.0,0.0,0
0022,J2,J5,0.0,,0.0,0.0,0
0022,J2,J2,3728.9235,288.0,0.000143,0.0,1
0022,J2,J11,3728.7388,558.0,0.00015,0.0,1
0022,J2,J3,0.0,,0.0,0.0,0
0022,J2,J4,0.0,,0.0,0.0,0
0022,J2,J6,0.0,,0.0,0.0,0
0022,J2,J7,0.0,,0.0,0.0,0
0022,J2,J8,0.0,,0.0,0.0,0
0022,J2,J9,0.0,,0.0,0.0,0
0022,J2,J10,0.0,,0.0,0.0,0
0022,J2,SU1,0.0,,0.002419,0.0,0
0022,J2,J_out,0.0,,0.000796,0.0,0
0022,J2,O2,0.0,,0.000792,0.0,0
0023,J3,J1,0.0,,0.0,0.0,0
0023,J3,J5,9555.2113,190.0,5.7e-05,0.0,1
0023,J3,J2,0.0,,0.0,0.0,0
0023,J3,J11,7888.3512,566.0,6.4e-05,0.0,1
0023,J3,J3,9967.3203,157.0,5.5e-05,0.0,1
0023,J3,J4,9967.3189,189.0,5.5e-05,0.0,1
0023,J3,J6,8880.1167,294.0,6.5e-05,0.0,1
0023,J3,J7,0.0,,0.0,0.0,0
0023,J3,J8,8880.1167,429.0,6.8e-05,0.0,1
0023,J3,J9,8825.279,507.0,6.8e-05,0.0,1
0023,J3,J10,7989.6121,539.0,6.9e-05,0.0,1
0023,J3,SU1,4972.6496,550.0,6.4e-05,0.0,1
0023,J3,J_out,4972.6496,551.0,1e-06,0.0,1
0023,J3,O2,0.0,,0.0,0.0,0
0024,J4,J1,0.0,,0.0,0.0,0
0024,J4,J5,4707.9962,645.0,0.000113,0.0,1
0024,J4,J2,0.0,,0.0,0.0,0
0024,J4,J11,4358.251,1113.0,0.000125,0.0,1
0024,J4,J3,0.0,,0.0,0.0,0
0024,J4,J4,4718.8755,511.0,0.00011,0.0,1
0024,J4,J6,4568.0175,773.0,0.000121,0.0,1
0024,J4,J7,0.0,,0.0,0.0,0
0024,J4,J8,4568.0175,951.0,0.000126,0.0,1
0024,J4,J9,4559.4928,1050.0,0.000128,0.0,1
0024,J4,J10,4385.9393,1066.0,0.000129,0.0,1
0024,J4,SU1,3299.1477,1075.0,0.000126,0.0,1
0024,J4,J_out,3299.1477,1076.0,5e-06,0.0,1
0024,J4,O2,3271.1914,1089.0,5e-06,0.0,1
0025,J4,J1,0.0,,0.0,0.0,0
0025,J4,J5,10874.8887,462.0,0.000103,0.0,1
0025,J4,J2,0.0,,0.0,0.0,0
0025,J4,J11,10106.1046,932.0,0.000122,0.0,1
0025,J4,J3,0.0,,0.0,0.0,0
0025,J4,J4,10887.8968,306.0,9.9e-05,0.0,1
0025,J4,J6,10602.3232,614.0,0.000115,0.0,1
0025,J4,J7,0.0,,0.0,0.0,0
0025,J4,J8,10602.3232,755.0,0.000123,0.0,1
